Order	Model	Interval	Threshold	Precision	Recall	Auc	Auc >= 0.70
random	deffuant_p	100	0.05	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.1	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.2	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.3	0.6695804195804196	0.7771428571428571	0.7771428571428571	YES
random	deffuant_p	100	0.4	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	deffuant_p	100	0.5	0.6680851063829787	0.7257142857142858	0.7257142857142856	YES
random	deffuant_p	100	0.6	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	100	0.05	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.1	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.2	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	100	0.3	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	deffuant_p	150	0.05	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.1	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.2	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.3	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	150	0.5	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	deffuant_p	150	0.6	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	150	0.05	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.1	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.2	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	150	0.3	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	deffuant_p	50	0.05	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.1	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.2	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.3	0.7055335968379447	0.7971428571428572	0.7971428571428572	YES
random	deffuant_p	50	0.4	0.6680851063829787	0.7257142857142858	0.7257142857142856	YES
random	deffuant_p	50	0.5	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	deffuant_p	50	0.6	0.7193877551020409	0.7457142857142858	0.7457142857142858	YES
random	hk_1.0_p	50	0.05	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.1	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.2	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	hk_1.0_p	50	0.3	0.7557142857142857	0.7557142857142857	0.7557142857142857	YES
random	deffuant_p	200	0.05	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.1	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.2	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.3	0.6553156146179402	0.7671428571428571	0.7671428571428572	YES
random	deffuant_p	200	0.5	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	deffuant_p	200	0.6	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	200	0.05	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.1	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.2	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	hk_1.0_p	200	0.3	0.6909722222222222	0.7357142857142858	0.7357142857142858	YES
random	deffuant_p	250	0.05	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.1	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.2	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	deffuant_p	250	0.3	0.631859756097561	0.7471428571428571	0.7471428571428571	YES
random	hk_1.0_p	250	0.05	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.1	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.2	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	hk_1.0_p	250	0.3	0.6492094861660079	0.7157142857142857	0.7157142857142857	YES
random	deffuant_p	300	0.05	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.1	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.2	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.3	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	hk_1.0_p	300	0.05	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.1	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.2	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.3	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
sorted	deffuant_p	395	0.1	0.5972222222222222	0.71	0.71	YES
sorted	deffuant_p	395	0.2	0.6060606060606061	0.74	0.74	YES
sorted	hk_1.0_p	395	0.1	0.6	0.72	0.72	YES
sorted	hk_1.0_p	395	0.2	0.609375	0.75	0.75	YES
